model,config,test_set,n,bandit_clean_pct,bandit_defective_pct,error_pct
CodeGPT,ppo_Rcs,dpo,100,2.0,0.0,98.0
CodeGPT,ppo_Rs,dpo,100,1.0,0.0,99.0
CodeGPT,pretrained,dpo,100,1.0,0.0,99.0
CodeGPT,sft,dpo,100,0.0,0.0,100.0
CodeGPT,sft_ppo_Rcs,dpo,100,0.0,0.0,100.0
CodeGPT,sft_ppo_Rs,dpo,100,1.0,1.0,98.0
CodeGPT,ppo_Rcs,ppo,1200,1.7,0.1,98.2
CodeGPT,ppo_Rs,ppo,1200,2.5,0.0,97.5
CodeGPT,pretrained,ppo,1200,6.8,0.1,93.2
CodeGPT,sft,ppo,1200,0.2,0.0,99.8
CodeGPT,sft_ppo_Rcs,ppo,1200,3.3,1.1,95.6
CodeGPT,sft_ppo_Rs,ppo,1200,1.2,0.2,98.6
CodeGen,ppo_Rcs,dpo,100,2.0,0.0,98.0
CodeGen,ppo_Rs,dpo,100,10.0,2.0,88.0
CodeGen,pretrained,dpo,100,2.0,0.0,98.0
CodeGen,sft,dpo,100,13.0,2.0,85.0
CodeGen,sft_ppo_Rcs,dpo,100,8.0,0.0,92.0
CodeGen,sft_ppo_Rs,dpo,100,2.0,0.0,98.0
CodeGen,ppo_Rcs,ppo,1200,8.9,0.2,90.9
CodeGen,ppo_Rs,ppo,1200,16.0,1.2,82.8
CodeGen,pretrained,ppo,1200,17.8,2.5,79.8
CodeGen,sft,ppo,1200,7.1,2.5,90.4
CodeGen,sft_ppo_Rcs,ppo,1200,6.5,0.8,92.8
CodeGen,sft_ppo_Rs,ppo,1200,2.3,0.1,97.6
DeepSeek,ppo_Rcs,dpo,100,28.0,0.0,72.0
DeepSeek,ppo_Rs,dpo,100,16.0,2.0,82.0
DeepSeek,pretrained,dpo,100,26.0,37.0,37.0
DeepSeek,sft,dpo,100,21.0,7.0,72.0
DeepSeek,sft_ppo_Rcs,dpo,100,13.0,1.0,86.0
DeepSeek,sft_ppo_Rs,dpo,100,3.0,0.0,97.0
DeepSeek,ppo_Rcs,ppo,1200,36.3,11.1,52.6
DeepSeek,ppo_Rs,ppo,1200,34.7,13.9,51.4
DeepSeek,pretrained,ppo,1200,33.3,11.8,54.8
DeepSeek,sft,ppo,1200,22.0,6.0,72.0
DeepSeek,sft_ppo_Rcs,ppo,1200,8.2,3.0,88.8
DeepSeek,sft_ppo_Rs,ppo,1200,10.7,2.3,87.0
QwenCoder,ppo_Rcs,dpo,100,1.0,1.0,98.0
QwenCoder,ppo_Rs,dpo,100,1.0,1.0,98.0
QwenCoder,pretrained,dpo,100,2.0,1.0,97.0
QwenCoder,sft,dpo,100,2.0,0.0,98.0
QwenCoder,sft_ppo_Rcs,dpo,100,1.0,0.0,99.0
QwenCoder,sft_ppo_Rs,dpo,100,1.0,1.0,98.0
QwenCoder,ppo_Rcs,ppo,1200,14.5,5.1,80.4
QwenCoder,ppo_Rs,ppo,1200,7.6,2.3,90.1
QwenCoder,pretrained,ppo,1200,13.9,4.1,82.0
QwenCoder,sft,ppo,1200,4.7,1.4,93.9
QwenCoder,sft_ppo_Rcs,ppo,1200,2.9,0.4,96.7
QwenCoder,sft_ppo_Rs,ppo,1200,3.2,0.5,96.3
