model,test_set,config,baseline,delta_clean_pp
CodeGPT,dpo,ppo_Rs,pretrained,0.0
CodeGPT,dpo,ppo_Rs,sft,1.0
CodeGPT,dpo,ppo_Rcs,pretrained,1.0
CodeGPT,dpo,ppo_Rcs,sft,2.0
CodeGPT,dpo,sft_ppo_Rs,sft,1.0
CodeGPT,dpo,sft_ppo_Rcs,sft,0.0
CodeGPT,ppo,ppo_Rs,pretrained,-4.3
CodeGPT,ppo,ppo_Rs,sft,2.3
CodeGPT,ppo,ppo_Rcs,pretrained,-5.1
CodeGPT,ppo,ppo_Rcs,sft,1.5
CodeGPT,ppo,sft_ppo_Rs,sft,1.0
CodeGPT,ppo,sft_ppo_Rcs,sft,3.1
CodeGen,dpo,ppo_Rs,pretrained,8.0
CodeGen,dpo,ppo_Rs,sft,-3.0
CodeGen,dpo,ppo_Rcs,pretrained,0.0
CodeGen,dpo,ppo_Rcs,sft,-11.0
CodeGen,dpo,sft_ppo_Rs,sft,-11.0
CodeGen,dpo,sft_ppo_Rcs,sft,-5.0
CodeGen,ppo,ppo_Rs,pretrained,-1.8
CodeGen,ppo,ppo_Rs,sft,8.9
CodeGen,ppo,ppo_Rcs,pretrained,-8.9
CodeGen,ppo,ppo_Rcs,sft,1.8
CodeGen,ppo,sft_ppo_Rs,sft,-4.8
CodeGen,ppo,sft_ppo_Rcs,sft,-0.6
DeepSeek,dpo,ppo_Rs,pretrained,-10.0
DeepSeek,dpo,ppo_Rs,sft,-5.0
DeepSeek,dpo,ppo_Rcs,pretrained,2.0
DeepSeek,dpo,ppo_Rcs,sft,7.0
DeepSeek,dpo,sft_ppo_Rs,sft,-18.0
DeepSeek,dpo,sft_ppo_Rcs,sft,-8.0
DeepSeek,ppo,ppo_Rs,pretrained,1.4
DeepSeek,ppo,ppo_Rs,sft,12.7
DeepSeek,ppo,ppo_Rcs,pretrained,3.0
DeepSeek,ppo,ppo_Rcs,sft,14.3
DeepSeek,ppo,sft_ppo_Rs,sft,-11.3
DeepSeek,ppo,sft_ppo_Rcs,sft,-13.8
QwenCoder,dpo,ppo_Rs,pretrained,-1.0
QwenCoder,dpo,ppo_Rs,sft,-1.0
QwenCoder,dpo,ppo_Rcs,pretrained,-1.0
QwenCoder,dpo,ppo_Rcs,sft,-1.0
QwenCoder,dpo,sft_ppo_Rs,sft,-1.0
QwenCoder,dpo,sft_ppo_Rcs,sft,-1.0
QwenCoder,ppo,ppo_Rs,pretrained,-6.3
QwenCoder,ppo,ppo_Rs,sft,2.9
QwenCoder,ppo,ppo_Rcs,pretrained,0.6
QwenCoder,ppo,ppo_Rcs,sft,9.8
QwenCoder,ppo,sft_ppo_Rs,sft,-1.5
QwenCoder,ppo,sft_ppo_Rcs,sft,-1.8
